Category,Phrase
Food and Drink,The Ideal Dessert Cannoli
Event,The Ideal Holiday
Event,The Iditirod
Proper Name,The Illuminated Book Of Kells
Movie Title,The Illusionist
Movie Title,The Imitation Game
Phrase,The Imperial City
Title,The Importance Of Being Earnest
Movie Title,The Impossible
Landmark,The Improv In Los Angeles
People,The In-Crowd
Movie Title,The In-Laws
Fictional Character,The Incredible Hulk
Before and After,The Incredible Hulk Hogan
Classic Movie,The Incredible Shrinking Man
Movie Title,The Incredibles
Thing,The Incurable Case Of Wanderlust
On the Map,The Indian Ocean
Phrase,The Inside Scoop
Thing,The Inside Scoop
Movie Title,The Insider
TV Show Title,The Insider
TV Show Title,The Interesting
Movie Title,The Internship
Rhyme Time,The Interview Felt Like Deja Vu
Title,The Invention Of Wings
People,The Investors Of Shark Tank
Classic Movie,The Invisible Man
Movie Title,The Invisible Man
Before and After,The Invisible Man Of La Manchu
Song Title,The Irish Rover
Thing,The Iron Age
Before and After,The Iron Age Of Innocence
Movie Title,The Iron Giant
Movie Title,The Island Monster
On the Map,The Island Of Crete
Place,The Island Of Dragonstone
On the Map,The Island Of Japan
On the Map,The Island Of Maui
On the Map,The Island Of Montserrat
On the Map,The Island Of Nantucket
On the Map,The Island Of Santorini
On the Map,The Islands Of Fiji
On the Map,The Islands Of Tahiti
On the Map,The Isle Of Bali
Proper Name,The Isley Brothers
On the Map,The Italian Riviera
TV Show Title,The Jack Docherty Show
TV Show Title,The Jack Doucherty Show
Movie Title,The Jackie Robinson Story
Before and After,The Jackson Five O'Clock Shadow
Classic TV,The Jamie Foxx Show
Event,The Jazz Age
The 80’s,The Jefferson's
Classic TV,The Jeffersons
Movie Title,The Jerk
Headline,The Jersey Shore Returns
Classic TV,The Jetsons
Phrase,The Jewel Of The Pacific
Phrase,The Jig Is Up
Landmark,The Jim Henson Company Lot
Thing,The Jingling Of Coins
Thing,The Jitterbug
TV Show Title,The Job
Classic TV,The Joey Bishop Show
TV Show Title,The Joey Bishop Show
Landmark,The Johnny Cash Museum
Fictional Character,The Joker
Movie Title,The Joy Luck Club
Movie Title,The Judge
People,The Judges Of The Voice
People,The Judges Of The X Factor
People,The Judges On American Idol
People,The Judges On Dancing With The Stars
Landmark,The Juilliard School
Book Title,The Jungle Book
Title,The Jungle Book
Fictional Character,The Justice League
Movie Title,The Karate Kid
The 80’s,The Karate Kid
Landmark,The Kazoo Museum
Title/Author,The Keep By Jennifer Egan
Proper Name,The Kentucky Derby
Landmark,The Kentucky Derby At Churchill Downs
Phrase,The Key To Success
Fictional Character,The Kid
Movie Title,The Kid
Title,The Kid And The Wolf
Movie Title,The King And I
Show Biz,The King And I
Before and After,The King And I Can Stay Here
Slogan,The King Of Beers
Title,The King Of Queens
TV Show Title,The King Of Queens
Proper Name,The King Of Soul James Brown
Movie Title,The Kings Of Summer
Event,The Kiss Woke Her Up!
Title,The Kite Runner
Movie Title,The Knick
TV Show Title,The Knick
Fictional Character,The Knight King
Proper Name,The Knights Templar
Thing,The Korean Language
The 50’s,THE KOREAN WAR
Fictional Character,The Kraken
Show Biz,The Ladies Of The View
Title/Author,The Ladies' Room By Carolyn Brown
Title,The Lady And The Unicorn
Movie Title,The Lady From Shanghai
Song Title,The Lady In Red
On the Map,The Lake District
Thing,The Lake District
Phrase,The Land Of Enchantment
Title,The Land Of Painted Caves
Phrase,The Land Of Steady Habits
Phrase,The Land Of Ten Thousand Lakes
Title,The Land That Time Forgot
Fictional Character,The Lannister Family
Phrase,The Lannister Vs. The Starks
Phrase,The Lannisters Vs. The Starks
Phrase,The Lap Of Luxury
Fun and Games,The Largest Party In The World
On the Map,The Las Vegas Strip
Movie Title,The Last Boy Scout
Movie Title,The Last Castle
Event,The Last Day Of School Before Summer Vacation
Event,The Last Day Of Summer
Movie Title,The Last Days On Mars
Title,The Last Days On Mars
Movie Title,The Last Emperor
TV Show Title,The Last Enemy
Event,The Last Few Minutes Of The Game
Phrase,The Last Frontier
Title,The Last Judgement
Title,The Last Judgment
TV Show Title,The Last Man On Earth
Movie Title,The Last Of The Mohicans
Movie Title,The Last Picture Show
Before and After,The Last Picture Show And Tell
Before and After,The Last Picture Show-And-Tell
Title,The Last Precinct
Movie Title,The Last Samurai
Book Title,The Last Song
Phrase,The Last Straw
Movie Title,The Last Waltz
Movie Title,The Last Winter
Movie Title,The Last Witch Hunter
Fun and Games,The Latest Dance Crazes
Thing,The Latest Fads In Fashion
Thing,The Latest Fashion Trends
Thing,The Latest Looks
Classic TV,The Lawrence Welk Show
Show Biz,The League
TV Show Title,The League
Title,The Left Handed Fate
Title,The Left-Handed Fate
Movie Title,The Legend Of Bagged Vance
Movie Title,The Legend Of Bagger Vance
TV Show Title,The Legend Of Korra
Title,The Legend Of Sleepy Hollow
The 80’s,The Legend Of Zelda
Landmark,The Legendary Nbc Studios In Burbank
People,The Legendary Rockettes
Movie Title,The Lego Movie
Movie Title,The Leopard
Landmark,The Liberty Bell
Title,The Library Of Babel
Landmark,The Library Of Congress
Fun and Games,The Licence Plate Game
Phrase,The Life And Times Of
Movie Title,The Life Aquatic With Steve Zissou
Rhyme Time,The Life Of A New Wife
Classic TV,The Life Of Riley
Title,The Lightning Thief
What Are You Doing,The Limbo
Landmark,The Lincoln Memorial
Landmark,The Lincoln Tunnel
Before and After,The Lincoln Tunnel Of Love
Movie Title,The Lion In Winter
Movie Title,The Lion King
The 90’s,The Lion King
Title,The Lion King
Landmark,The Lion Monument
Title,The Lion The Witch And The Wardrobe
Title,"The Lion, The Witch And The Wardrobe"
Phrase,The Lion's Share
Book Title,The Little Engine That Could
Title,The Little Engine That Could
Classic Movie,The Little Golden Bird
Title,The Little Golden Bird
Title,The Little Match Girl
Movie Title,The Little Mermaid
Title,The Little Paris Bookshop
Fictional Character,The Little Prince
Movie Title,The Living Daylights
Movie Title,The Lizzie Mcguire Movie
Place,The Local Deli
Place,The Local Watering Hole
Title,The London Eye Mystery
Event,The London Marathon
Landmark,The London Palladium
Fictional Character,The Lone Ranger
Fictional Character,The Lone Ranger & Tonto
Phrase,The Lone Star State
Phrase,The Long Arm Of The Law
Movie Title,The Long Goodbye
Event,The Long Jump
Phrase,The Long Jump
Thing,The Long Jump
Classic Movie,The Long Voyage Home
Movie Title,The Long Voyage Home
Title/Author,The Long Walk By Stephen King
Event,The Longest Day Of The Year
Movie Title,The Longest Night In Shanghai
Movie Title,The Longest Yard
Rhyme Time,The Look Of A Crook
Song Title,The Look Of Love
Title,The Lorax
Title,The Lord Of The Rings
Title,The Lord Of The Rings: The Two Towers
Thing,The Los Angeles Times Bestseller
Title,The Los Angeles Times Bestseller
Place,The Lost And Found Department
Place,The Lost City Of Atlantis
Title/Author,The Lost Symbol By Dan Brown
Title,The Lost World
Movie Title,The Lost World: Jurassic Park
Event,The Louisiana Purchase
Landmark,The Louvre In Paris
Landmark,The Louvre Museum
Classic TV,The Love Boat
Movie Title,The Love Bug
Person,The Love Of My Life
Phrase,The Luck Of The Irish
Before and After,The Luck Of The Irish Setter
Before and After,The Luck Of The Irish Wolfhound
Thing,The Luck Of The Irish Wolfhound
Phrase,The Lucky Country
Classic Movie,The Lucy Show
Classic TV,The Lucy Show
Phrase,The Lure Of The Unknown
The 80’s,The Macarena
The 90’s,The Macarena
Fictional Character,The Mad Hatter
Thing,The Madrid Underground
Title,The Magic Fiddle
What Are You Doing,The Magic Fiddle
Place,The Magic Kingdom
Movie Title,The Magic Sword
Title,The Magician's Assistant
Place,The Magnificent Mile
Thing,The Magnificent Scenery Of The Alps
Movie Title,The Magnificent Seven
Song/Artist,The Magnificent Seven By The Clash
Title,The Magnolia Story
Title/Author,The Magus By John Fowles
On the Map,The Maine Coast
Title,The Making Of Dual Mania
Title/Author,The Making Of Dual Mania By Joseph Strickland
Movie Title,The Maltese Falcon
Landmark,The Malvern Hills
Title,The Mammoth Hunters
Movie Title,The Man From Earth
Movie Title,The Man From Planet X
Classic TV,The Man From U.N.C.L.E.
Movie Title,The Man In The Gray Flannel Suit
TV Show Title,The Man In The High Castle
Title,The Man In The Moon
Fictional Character,The Man In The Yellow Hat
Fictional Character,The Man In Yellow Hat
People,The Man Of My Dreams
Person,The Man Of My Dreams
Song Title,The Man On The Flying Trapeze
Movie Title,The Man Who Knew Infinity
Classic Movie,The Man Who Knew Too Much
Movie Title,The Man Who Knew Too Much
Classic Movie,The Man Who Shot Liberty Valance
Movie Title,The Man Who Shot Liberty Valance
Song Title,The Man Who Sold The World
Rhyme Time,The Man With A Plan
Fictional Character,The Man With No Name
Movie Title,The Man With The Golden Gun
Rhyme Time,The Man With The Plan
Movie Title,The Manchurian Candidate
Title,The Manchurian Candidate
Place,The Many Moons Of Jupiter
Proper Name,The March Of Dimes
Title,The Marriage Of Figaro
Song Title,The Marriage Of Figaro By Mozart
Title,The Marriage Of Figaro By Mozart
Title/Author,The Marriage Of Opposites
Title,The Marriage Of Opposites
Title,The Martian
Thing,The Marvel Universe
Phrase,The Marvelous City
Proper Name,The Marx Brothers
Classic TV,The Mary Tyler Moore Show
Title/Author,The Mask Of Apollo By Mary Renault
Movie Title,The Mask Of Zorro
Movie Title,The Masked Saint
Movie Title,The Masked Saints
Classic TV,The Match Game
Song Lyrics,The Mate Was A Mighty Sailor Man
Movie Title,The Matrix
Landmark,The Matterhorn
Landmark,The Max Factor Building
Movie Title,The Maze Runner
TV Show Title,The Mclaughlin Group
On the Map,The Mediterranean Sea
Movie Title,The Meg
Title,The Memory Of Us
TV Show Title,The Mentalist
Book Title,The Merchant Of Venice
Title,The Merchant Of Venice
Landmark,The Metropolitan Museum Of Art
Event,The Mexican American War
Fun and Games,The Mexican Hat Dance
Event,The Mexican-American War
Title,The Miami Herald
The 90’s,The Mickey Mouse Club
Phrase,The Midas Touch
Proper Name,The Midas Touch
TV Show Title,The Middle
Event,The Midnight Ride Of Paul Revere
Song Title,The Midnight Special
Movie Title,The Mighty Ducks
The 90’s,The Mighty Ducks
Phrase,The Mighty Mississippi
Thing,The Milky Way
Thing,The Milky Way Galaxy
Landmark,The Millennium Bridge
Thing,The Millennium Bridge
TV Show Title,The Millers
Classic TV,The Millionaire
TV Show Title,The Mindy Project
Landmark,The Ming Dynasty City Wall Relics Park
Fictional Character,The Minotaur
Title,The Minpins
Movie Title,The Mirror
On the Map,The Missouri River
Movie Title,The Mist
Title,The Mitten
Landmark,The Mob Museum
Place,The Mob Museum
TV Show Title,The Mod Squad
Phrase,The Moment Of Truth
Before and After,The Moment Of Truth Or Dare
Movie Title,The Money Pit
Classic TV,The Monkees
Rhyme Time,The Monster Mash Was A Number-One Smash
Movie Title,The Monster Squad
Fictional Character,The Monster Under The Bed
Thing,The Month Of July
Thing,The Moon & Stars
Place,The Moons Of Jupiter
Phrase,The Moral Of The Story
Title,The Mosquito Coast
Place,The Most Beautiful Beaches In The World
Event,The Most Beautiful Sunsets
Title,The Most Happy Fella
Food and Drink,The Most Important Meal Of The Day
Phrase,The Most Important Meal Of The Day
Phrase,The Most Photographed And Visited Bridge
Phrase,The Most Visited City In The World
Title,The Moth Radio Hour
Phrase,The Motor City
Landmark,The Mound
Title,The Mouse That Roared
People,The Movers And The Shakers
Phrase,The Movers And The Shakers
Before and After,The Muffin Man Of The Year
The 80’s,The Mullet
Movie Title,The Mummy
Movie Title,The Mummy's Shroud
Classic TV,The Munsters
Movie Title,The Muppet Christmas Carol
Movie Title,The Muppet Movie
Classic TV,The Muppet Show
Movie Title,The Muppet Show
Fictional Character,The Muppets
People,The Muppets
Landmark,The Museum Of Edinburgh
Landmark,The Museum Of Italian Art
Landmark,The Museum Of The Indian
Landmark,The Museum Of The Nation
Song Title,The Music And The Mirror
Title,The Music Man
Show Biz,The Music Of Donna Summer
Show Biz,The Musical Chicago
TV Show Title,The Mysteries Of Laura
Thing,The Myth Of Dionysus & Ariadne
Thing,The Myth Of Dionysus & Ariande
Title,The Myth Of Halcyon
Title,The Myth Of Hera And Persephone
People,The Myth Of Perseus & Medusa
Thing,The Myth Of Perseus & Medusa
Thing,The Myth Of Prometheus
Phrase,The Naked Truth
Title,The Name Of Rose
Rhyme Time,The Name Of The Game
Title,The Name Of The Rose
Title/Author,The Names By Don Delillo
Title,The Namesake
Place,The Nation's Best Hospitals
Phrase,The Nation's Capital
Same Name,The National & Nose Guard
Same Name,The National And Nose Guard
Song Title,The National Anthem
Landmark,The National Archives Museum
Landmark,The National Autonomous University Of Mexico
Landmark,The National Balloon Museum
Landmark,The National Gallery In London
Place,The National Gallery In London
Landmark,The National Gardens
Proper Name,The National League
Landmark,The National Museum Of Japan
Landmark,The National Music Museum
Proper Name,The National Park Service
Proper Name,The National Press Club
Place,The Nations Best Hospitals
Event,The Natural Day Parade
Rhyme Time,The Need For Speed
Before and After,The Need For Speed Racer
Before and After,The Need For Speed Skating
On the Map,The Neighborhood Of Little India
TV Show Title,The Neighbors
Movie Title,The Net
On the Map,The Netherlands
Movie Title,The Neverending Story
Family,The Neville Brothers
Proper Name,The Neville Brothers
TV Show Title,The New Addams Family
Movie Title,The New Adventures Of Heidi
Proper Name,The New England Patriots
On the Map,The New England States
Place,The New England States
Thing,The New Fall Line Of Clothes
Show Biz,The New Hit Show Glow
Classic TV,The New Scooby-Doo Movies
Show Biz,The New Season Of Stranger Things
Show Biz,The New Season Of Television
Show Biz,The New Season Of Westworld
Landmark,The New Town Hall
Proper Name,The New York Times
Title,The New York Times
Title,The New York Times Sunday Book Review
Title,The New Yorker
Person,The Newest Member Of The Family
Phrase,The Next Big Thing
TV Show Title,The Next Iron Chef
Movie Title,The Nice Guys
Movie Title,The Night Before
Event,The Night Before Halloween
Movie Title,The Night Circus
Thing,The Night Circus
Title,The Night Circus
Fictional Character,The Night King
Person,The Night King
TV Show Title,The Night Manager
Movie Title,The Night Of The Hunter
Movie Title,The Night Of The Iguana
Fictional Character,The Night's Watch
Title,The Nightingale
Movie Title,The Nightmare Before Christmas
On the Map,The Nile River
Proper Name,The Nina The Pinta & The Santa Maria
Fictional Character,The Nine Muses
Fictional Character,The Nine Muses Of Greek Mythology
Title,The Nine Tailors
Event,The Norman Conquest Of England
Title,The North Atlantic Treaty
On the Map,The North Bank Of The River Thames
On the Map,The North Pole
Thing,The North Star
Title,The North Wind And The Sun
On the Map,The Northern Ocean
On the Map,The Northern Rockies
On the Map,The Norwegian Sea
Movie Title,The Notebook
Title,The Nutcracker
Movie Title,The Nutty Professor
Title,The O'sullivan Twins
Proper Name,The Oak Ridge Boys
Landmark,The Oaks House Museum
Phrase,The Object Of The Game
Song/Artist,The Ocean By Led Zeppelin
Classic TV,The Odd Couple
Phrase,The Odds Are In Your Favor
Title/Author,The Odyssey By Homer
TV Show Title,The Office
On the Map,The Old City Of Shanghai
Title,The Old Man And The Sea
Title/Author,The Old Man And The Sea By Ernest Hemingway
Phrase,The Old Town Of Vienna
Phrase,The Old West
Proper Name,The Old Wild West
Fictional Character,The Old Woman Who Lived In A Shoe
Event,The Olympic Games
Thing,The Olympic Rings
Title,The Once And Future King
TV Show Title,The One Show
Title,The Only Ones
Quotation,The Only Thing We Have To Fear Is Fear Itself
Song Title,The Only Way I Know
Place,The Open Road
Phrase,The Open Road Is Calling
Event,The Opening Match
Fictional Character,The Oracle At Delphi
Thing,The Original Maltese Falcon
Proper Name,The Original Scream Queen Jamie Lee Curtis
TV Show Title,The Originals
Movie Title,The Outlaw Josey Wales
Before and After,The Outlaw Josey Wales Great Britain
Title/Author,The Outsider By Stephen King
Title,The Owl And The Grasshopper
Title,The Owl And The Pussycat
Thing,The Oxford English Dictionary
Title,The Oxford English Dictionary
On the Map,The Ozark Mountains
On the Map,The Pacific Coast Of Costa Rica
On the Map,The Pacific Northwest
On the Map,The Pacific Ocean
Title,The Pajama Game
Place,The Palace Gardens
Landmark,The Palace Of Nations
Title,The Pale Blue Eye
Landmark,The Panama Canal
Movie Title,The Paper Chase
On the Map,The Paradise Island Of Ko Kut
Landmark,The Paramount Theater
Landmark,The Parthenon
Classic TV,The Partridge Family
Before and After,The Partridge Family Picnic
Song Title,The Passenger
TV Show Title,The Path
Phrase,The Path Of Least Resistance
Phrase,The Patience Of Job
Movie Title,The Patriot
Landmark,The Pavilion Of Listening To Billows
Fictional Character,The Peanuts Gang
Fictional Character,The Peanuts Kids
Movie Title,The Peanuts Movie
Title,The Pelican Brief
Landmark,The Pentagon
Movie Title,The People That Time Forgot
Classic TV,The People's Choice
Proper Name,The People's Choice Awards
TV Show Title,The People's Court
Title,The Peppermint Pig
Song Title,The Perfect Fan
Movie Title,The Perfect Game
Phrase,The Perfect Game
Phrase,The Perfect Gateway To Southeast Asia
Phrase,The Perfect Gift
Event,The Perfect Island Escapes
Song Title,The Perfect Man
Phrase,The Perfect Mix
Phrase,The Perfect Place To Unwind
Event,The Perfect Romantic Getaway
Event,The Perfect Storm
Movie Title,The Perfect Storm
Thing,The Perfect Storm
Title,The Perfect Storm
Event,The Perfect Trip
Classic TV,The Perils Of Penelope Pitstop
Movie Title,The Perks Of Being A Wallflower
Movie Title,The Phantom Carriage
Classic Movie,The Phantom Of The Opera
Title,The Phantom Of The Opera
Before and After,The Phantom Of The Opera Glasses
Classic Movie,The Philadelphia Story
Movie Title,The Philadelphia Story
Movie Title,The Piano Teacher
Title,The Pickwick Papers
Fictional Character,The Pied Piper
Fictional Character,The Pied Piper Of Hamelin
Title,The Pied Piper Of Hamelin
Fictional Character,The Pied Piper Of Hamlen
Fictional Character,The Pink Panther
Show Biz,The Pink Panther Movies
Landmark,The Pinnacle
TV Show Title,The Pioneer Woman
Phrase,The Pitter Patter Of Little Feet
Phrase,The Place To Be Seen
On the Map,The Plains States
Thing,The Planet Earth
Title,The Pledge Of Allegiance
Phrase,The Plot Thickens
Title,The Poky Little Puppy
Title,The Polar Express
Proper Name,The Police
Rhyme Time,The Pop Fly Went High In The Sky
Headline,The Pope Resigns
Landmark,The Port Of Montreal
Title,The Portrait Of A Lady
Movie Title,The Poseidon Adventure
Phrase,The Possibilities Are Endless
Song Title,The Power Of Love
The 80’s,The Power Of Love By Huey Lewis & The News
Song Lyrics,The Power Of Love Is A Curious Thing
Phrase,The Power Of Surprise
Phrase,The Power To Inspire Awe
Slogan,The Power To Surprise
Fictional Character,The Powerpuff Girls
Phrase,The Powers That Be
Title,The Practice
TV Show Title,The Practice
Thing,The Preamble To The Constitution
Fictional Place,The Prehistoric City Of Bedrock
Phrase,The Prehistoric City Of Bedrock
Event,The Premier Of The Crown
Show Biz,The Premiere Of The Crown
Show Biz,The Premiere Of The Hunger Games
People,The President & Congress
Classic Movie,The President's Lady
Movie Title,The Presidents Lady
Phrase,The Pressure Is On
Movie Title,The Prestige
Title,The Price Is Right
Before and After,The Price Is Right To Remain Silent
TV Show Title,The Price Is Right?
Movie Title,The Pride Of St. Louis
Movie Title,The Pride Of The Yankees
Book Title,The Prince And The Pauper
Title,The Prince And The Pauper
Movie Title,The Prince Of Egypt
Fictional Character,The Princess & A Frog
Fictional Character,The Princess And A Frog
Movie Title,The Princess And The Frog
Movie Title,The Princess Bride
The 80’s,The Princess Bride
Before and After,The Princess Bride Of Frankenstein
Movie Title,The Princess Diaries
Title,The Princess Diaries
Title,The Princeton Review
Movie Title,The Producers
Title,The Producers
Movie Title,The Program
TV Show Title,The Project
Phrase,The Proof Is In The Pudding
Movie Title,The Proposal
Place,The Prospect Studios
Fictional Character,The Protagonist Of The Story
Phrase,The Proudest Day Of My Life
On the Map,The Province Of Ontario
On the Map,The Province Of Quebec
Place,The Public Library
Phrase,The Pulse Of The City
Landmark,The Punk Rock Museum
Movie Title,The Purge
Movie Title,The Purge: Anarchy
Movie Title,The Purge: Election Year
Song Title,The Purple People Eater
Movie Title,The Purple Rose Of Cairo
Proper Name,The Queen Of Country Pop Shania Twain
Fictional Character,The Queen Of Hearts
Quotation,The Queen Of Hearts Made Some Tarts
People,The Queen's Watermen
Movie Title,The Quiet Man
Rhyme Time,The Rain In Spain
Song Lyrics,The Rain In Spain Stays Mainly In The Plain
Title/Author,The Rainbow Fish By Marcus Pfister
Movie Title,The Rainmaker
Title,The Ramblers
Show Biz,The Rat Pack
Classic TV,The Rat Patrol
Title/Author,The Raven By Edgar Allan Poe
Rhyme Time,The Real Deal
Classic TV,The Real Ghostbusters
Show Biz,The Real Housewives Franchise
TV Show Title,The Real Housewives Of Beverly Hills
TV Show Title,The Real Housewives Of Melbourne
TV Show Title,The Real Housewives Of New Jersey
TV Show Title,The Real Housewives Of New York City
Phrase,The Real Mccoy
Classic TV,The Real Mccoys
Book Title,The Red Badge Of Courage
Place,The Red Planet
Thing,The Red Planet
Title,The Red Pony
Event,The Red Wedding
Fictional Character,The Red Woman
Title,The Ren & Stimpy Show
Phrase,The Renaissance Period
Movie Title,The Replacements
Phrase,The Rest Is History
Before and After,The Rest Is History Repeats Itself
Phrase,The Rest Is History Repeats Itself
Title,The Rest Of Us Just Live Here
Movie Title,The Return Of Godzilla
Thing,The Return Of The King
Title,The Return Of The King
Movie Title,The Revenant
Thing,The Rhythm Of The Tango
Fictional Character,The Riddler & The Joker
Classic TV,The Rifleman
Thing,The Right Answer
Phrase,The Right Approach
Movie Title,The Right Stuff
People,The Righteous Brothers
Proper Name,The Righteous Brothers
Thing,The Rights Of The People
Person,The Ring Bearer
Thing,The Rings Of Saturn
Landmark,The Rink At Rockefeller Center
On the Map,The Rio Grande
Place,The Rio Grande
On the Map,The River Shannon
Place,The River Styx
On the Map,The River Thames
Title/Author,The Road Not Taken By Robert Frost
Fictional Character,The Road Runner
Movie Title,The Road To El Dorado
Proper Name,The Roar Of The Crowd
Thing,The Roar Of The Crowd
Phrase,The Roaring Twenties
Movie Title,The Rock
Landmark,The Rock And Roll Hall Of Fame Me Museum
In the Kitchen,The Rock And Roll Hall Of Fame Museum
Show Biz,The Rockettes
Classic TV,The Rockford Files
Phrase,The Rockford Files
Classic Movie,The Rocky Horror Picture Show
Movie Title,The Rocky Horror Picture Show
Title,The Rocky Horror Show
On the Map,The Rocky Mountains
Place,The Rocky Mountains
Thing,The Rocky Surface Of Mars
Same Name,The Rolling & Skipping Stone
Proper Name,The Rolling Stones
Rhyme Time,The Rookie Bookie Ate A Cookies
Phrase,The Root Of The Matter
Movie Title,The Rose
Event,The Rose Bowl
Event,The Rose Ceremony
Title,The Rosetta Stone
Title,The Rosie Project
TV Show Title,The Roth Radio Hour
Title,The Round House
Landmark,The Round Tower
Place,The Royal Clock
Proper Name,The Royal Clock
Thing,The Royal Clock
People,The Royal Family
Place,The Royal Palace
Landmark,The Royal Palace Of Amsterdam
Movie Title,The Royal Tenenbaums
Phrase,The Royal Treatment
Event,The Royal Variety Performance
Event,The Royal Wedding
Landmark,The Ruins Of St. Paul
Proper Name,The Runaways
People,The Russian Ballet
Thing,The Sacred Rock Of Acropolis
Phrase,The Saga Continues
Rhyme Time,The Saga Of Lady Gaga
On the Map,The Salton Sea
Phrase,The San Francisco Of The East
Movie Title,The Sandlot
Movie Title,The Santa Clause
Fictional Character,The Scarecrow From The Wonderful Wizard Of Oz
Title,The Scarlet Letter
Place,The Scenic Oregon Coast
Thing,The Scenic Route
Thing,The Scent Of Honey & Truffles
Thing,The Scent Of Jasmine
Song Title,The Schuyler Sisters
Movie Title,The Science Of Sleep
Fun and Games,The Scrambled States Of America Game
Proper Name,The Screen Actors Guild Awards
Rhyme Time,The Script Was Ripped
Fictional Character,The Sea God Poseidon
On the Map,The Sea To Sky Highway
On the Map,The Sea-To-Sky Highway
Title/Author,The Seagull By Anton Chekhov
Movie Title,The Searchers
Event,The Season Of Joy
Event,The Season Premiere Of The Bachelor
Phrase,The Season's Best Dishes
Phrase,The Seat Of Government
Thing,The Seattle Times
Title,The Seattle Times
People,The Second City Improv Actors
Song Lyrics,The Second Time Around
Song Title,The Second Time Around
Title,The Secret Garden
Title,The Secret History Of Moscow
TV Show Title,The Secret Life Of An American Teenager
Movie Title,The Secret Life Of Pets
Thing,The Secret Life Of Plants
Title,The Secret Life Of Plants
TV Show Title,The Secret Life Of Us
Movie Title,The Secret Life Of Walter Mitty
Movie Title,The Secret Of Kells
Movie Title,The Secret Of Roan Inish
Phrase,The Secret To Success
Title,The Secrets She Kept
Landmark,The Seoul Museum Of Art
Rhyme Time,The Septic Tank Accidentally Sank
Event,The Series Is Tied
Event,The Series Is Tied!
Title,The Settlers Of Catan
Phrase,The Seven Kingdoms
Place,The Seven Kingdoms
Thing,The Seven Natural Wonders Of The World
Thing,The Seven Wonders Of The Ancient World
Thing,The Seven Wonders Of The World
Classic Movie,The Seven Year Itch
Title,The Shadow Queen
Movie Title,The Shakiest Gun In The West
Place,The Shallow End Of The Pool
Thing,The Shallow Manmade Lakes Of Talc
Movie Title,The Shanghai Gesture
Landmark,The Shanghai International Circuit
Title,The Shape Of Things To Come
Movie Title,The Shawshank Redemption
The 80’s,The Shawshank Redemption
The 90’s,The Shawshank Redemption
Title,The Shepherd-Boy
Fictional Character,The Sheriff Of Nottingham
Classic Movie,The Shining
Movie Title,The Shining
The 80’s,The Shining
Title/Author,The Shining By Stephan King
Title/Author,The Shining By Stephen King
Fictional Character,The Shoemaker & The Elves
Movie Title,The Shop Around The Corner
Place,The Shores Of The Great Lake
Place,The Shores Of The Great Lakes
Event,The Shortest Day Of The Year
Phrase,The Show Must Go On
Show Biz,The Show Must Go On
Title,The Show Must Go On!
Show Biz,The Shower Scene From Psycho
Show Biz,The Shower Scene In Psycho
Place,The Sidelines
Fun and Games,The Sights & Sounds Of The Opening Ceremony
Fun and Games,The Sights And Sounds Of The Opening Ceremony
Movie Title,The Silence Of The Lambs
Title,The Silver Chair
Title,The Silver Star
The 90’s,The Simpsons
TV Show Title,The Simpsons
Movie Title,The Simpsons Movie
Show Biz,The Simpsons Premier
Show Biz,The Simpsons Premiere
TV Show Title,The Single Guy
Phrase,The Single Life
Title,The Siren Of Titan
Title,The Sirens Of Titan
Movie Title,The Sisterhood Of The Traveling Pants
Landmark,The Sistine Chapel
Same Name,The Sixth & Common Sense
Movie Title,The Sixth Sense
Phrase,The Sixty Four-Thousand Dollar Question
Phrase,The Sixty-Four-Million-Dollar Question
Phrase,The Sixty-Four-Thousand-Dollar Question
What Are You Doing,The Sixty-Four-Thousand-Dollar Question
Phrase,The Sky Is The Limit
Phrase,The Sky's The Limit
Place,The Skydeck At Willis Tower
Proper Name,The Sleeping Buddha
Movie Title,The Slugger's Wife
Place,The Smallest Planet Mercury
Rock On,The Smashing Pumpkins
The 90’s,The Smashing Pumpkins
Thing,The Smell Of Bacon
Thing,The Smell Of Bacon Frying
Thing,The Smell Of Baked Bread
Thing,The Smell Of Breakfast
Thing,The Smell Of Cedar
Thing,The Smell Of Cedar In The Woods
Thing,The Smell Of Delicious Coffee
Thing,The Smell Of Freshly Baked Bread
Thing,The Smell Of Freshly Baked Pies
Thing,The Smell Of Lavender
Thing,The Smell Of Moth Balls
Thing,The Smell Of Pine Trees
Thing,The Smell Of Spring Flowers
Thing,The Smell Of Spring Showers
Thing,The Smell Of Suntan Lotion
Thing,The Smell Of Turkey Roasting
Thing,The Smell Of Vanilla
Thing,The Smells Of Spring
Thing,The Smells Of Summer
Landmark,The Smithsonian Castle
Classic TV,The Smothers Brothers Comedy Hour
Fictional Character,The Smurfs
Title,The Sneaky Snacky Squirrel Game!
Title,The Snow Queen
Title,The Snowy Day
Movie Title,The Social Network
TV Show Title,The Son
Song Title,The Song Is You
Title,The Song Of Haiawatha
Title,The Song Of Roland
Classic TV,The Sonny And Cher Comedy Hour
Phrase,The Sooner The Better
TV Show Title,The Sopranos
Movie Title,The Sound And The Fury
Title,The Sound And The Fury
Thing,The Sound Of Breaking Glass
Thing,The Sound Of Hitting The Jackpot
Movie Title,The Sound Of Music
Title,The Sound Of Music
Song Title,The Sound Of Silence
